Peer ID : 9
Mean Block Creation Time : 30000.0 ms

5fb6a9e4-0e6f-11ec-8feb-0dcea3726d40 : 8544930.05 ms

5fb6aa04-0e6f-11ec-8feb-0dcea3726d40 : 8658622.6 ms

5fb6aa3d-0e6f-11ec-8feb-0dcea3726d40 : 8711277.89 ms

5fb6aa76-0e6f-11ec-8feb-0dcea3726d40 : 8714623.12 ms

5fb6aa85-0e6f-11ec-8feb-0dcea3726d40 : 8737476.31 ms

5fb6aaa1-0e6f-11ec-8feb-0dcea3726d40 : 8747787.72 ms

5fb6aac2-0e6f-11ec-8feb-0dcea3726d40 : 8771441.34 ms

5fb6aad6-0e6f-11ec-8feb-0dcea3726d40 : 8803383.81 ms

5fb6aaf9-0e6f-11ec-8feb-0dcea3726d40 : 8828154.32 ms

5fb6ab04-0e6f-11ec-8feb-0dcea3726d40 : 8843947.43 ms

6031e7d4-0e6f-11ec-8feb-0dcea3726d40 : 8847154.78 ms

6031e7e4-0e6f-11ec-8feb-0dcea3726d40 : 8874919.0 ms

6031e816-0e6f-11ec-8feb-0dcea3726d40 : 8913572.88 ms

6031e833-0e6f-11ec-8feb-0dcea3726d40 : 9012796.03 ms

6031e858-0e6f-11ec-8feb-0dcea3726d40 : 9033376.5 ms

6031e873-0e6f-11ec-8feb-0dcea3726d40 : 9112646.59 ms

6031e8ad-0e6f-11ec-8feb-0dcea3726d40 : 9136589.56 ms

6031e8c1-0e6f-11ec-8feb-0dcea3726d40 : 9158607.31 ms

6031e8ea-0e6f-11ec-8feb-0dcea3726d40 : 9178786.54 ms

6031e903-0e6f-11ec-8feb-0dcea3726d40 : 9181340.92 ms

6031e913-0e6f-11ec-8feb-0dcea3726d40 : 9215239.5 ms

6031e92d-0e6f-11ec-8feb-0dcea3726d40 : 9280711.52 ms

6031e95c-0e6f-11ec-8feb-0dcea3726d40 : 9296738.62 ms

6031e975-0e6f-11ec-8feb-0dcea3726d40 : 9310262.22 ms

6031e997-0e6f-11ec-8feb-0dcea3726d40 : 9392026.81 ms

6031e9c3-0e6f-11ec-8feb-0dcea3726d40 : 9406712.08 ms

6031e9ec-0e6f-11ec-8feb-0dcea3726d40 : 9448994.28 ms

6031ea10-0e6f-11ec-8feb-0dcea3726d40 : 9459667.41 ms

6031ea25-0e6f-11ec-8feb-0dcea3726d40 : 9463772.4 ms

6031ea36-0e6f-11ec-8feb-0dcea3726d40 : 9495688.36 ms

6031ea4d-0e6f-11ec-8feb-0dcea3726d40 : 9510093.11 ms

6031ea71-0e6f-11ec-8feb-0dcea3726d40 : 9531525.34 ms

6031ea8b-0e6f-11ec-8feb-0dcea3726d40 : 9558267.38 ms

6031eaa1-0e6f-11ec-8feb-0dcea3726d40 : 9586729.74 ms

6031eabd-0e6f-11ec-8feb-0dcea3726d40 : 9625195.09 ms

6031eae2-0e6f-11ec-8feb-0dcea3726d40 : 9699994.18 ms

6031eb13-0e6f-11ec-8feb-0dcea3726d40 : 9734477.69 ms

6031eb29-0e6f-11ec-8feb-0dcea3726d40 : 9741566.47 ms

6031eb3a-0e6f-11ec-8feb-0dcea3726d40 : 9779133.77 ms

6031eb5f-0e6f-11ec-8feb-0dcea3726d40 : 9784778.72 ms

6031eba7-0e6f-11ec-8feb-0dcea3726d40 : 9893203.47 ms

60a97246-0e6f-11ec-8feb-0dcea3726d40 : 9911092.84 ms

60a9726a-0e6f-11ec-8feb-0dcea3726d40 : 10028439.5 ms

60a9729b-0e6f-11ec-8feb-0dcea3726d40 : 10089065.26 ms

60a972cb-0e6f-11ec-8feb-0dcea3726d40 : 10127002.93 ms

60a972e1-0e6f-11ec-8feb-0dcea3726d40 : 10142215.18 ms

60a972fd-0e6f-11ec-8feb-0dcea3726d40 : 10181780.27 ms

60a97314-0e6f-11ec-8feb-0dcea3726d40 : 10203442.27 ms

60a9734f-0e6f-11ec-8feb-0dcea3726d40 : 10250996.79 ms

60a9736a-0e6f-11ec-8feb-0dcea3726d40 : 10271531.54 ms

60a9738f-0e6f-11ec-8feb-0dcea3726d40 : 10298106.27 ms

60a973cc-0e6f-11ec-8feb-0dcea3726d40 : 10342739.28 ms

60a973db-0e6f-11ec-8feb-0dcea3726d40 : 10374621.72 ms

60a973fa-0e6f-11ec-8feb-0dcea3726d40 : 10504583.84 ms

60a97436-0e6f-11ec-8feb-0dcea3726d40 : 10586635.82 ms

60a97462-0e6f-11ec-8feb-0dcea3726d40 : 10687595.79 ms

60a974a5-0e6f-11ec-8feb-0dcea3726d40 : 10690569.87 ms

60a974c3-0e6f-11ec-8feb-0dcea3726d40 : 10693560.53 ms

60a974c7-0e6f-11ec-8feb-0dcea3726d40 : 10722658.05 ms

60a974e6-0e6f-11ec-8feb-0dcea3726d40 : 10794064.04 ms

60a9751e-0e6f-11ec-8feb-0dcea3726d40 : 10839271.89 ms

60a97536-0e6f-11ec-8feb-0dcea3726d40 : 10841486.86 ms

60a97550-0e6f-11ec-8feb-0dcea3726d40 : 10923620.87 ms

60a97579-0e6f-11ec-8feb-0dcea3726d40 : 10946501.2 ms

60a9759c-0e6f-11ec-8feb-0dcea3726d40 : 10949378.89 ms

60a975ae-0e6f-11ec-8feb-0dcea3726d40 : 11061752.93 ms

60a975f8-0e6f-11ec-8feb-0dcea3726d40 : 11066254.8 ms

60a9760f-0e6f-11ec-8feb-0dcea3726d40 : 11104760.79 ms

612dd84a-0e6f-11ec-8feb-0dcea3726d40 : 11140089.83 ms

612dd86a-0e6f-11ec-8feb-0dcea3726d40 : 11154534.95 ms

612dd87f-0e6f-11ec-8feb-0dcea3726d40 : 11160991.09 ms

612dd8a3-0e6f-11ec-8feb-0dcea3726d40 : 11171499.23 ms

